ID,Start time,Completion time,Email,Name,"Overall, how would you rate this course so far? On a scale of 1 (Poor) to 10 (Excellent)",What would you rate the teaching and facilitator on this course? On a scale of 1 (Poor) to 10 (Excellent),teaching_text,How did you find the slides and materials? On a scale of 1 (Poor) to 10 (Excellent),resources_text,How relevant were the topics covered in this course to develop you as a campaigner? On a scale of 1 (not relevant at all) to 10 (highly relevant),relevant_text,To what extent have your skills as a campaigner improved so far? On a scale of 1 (not improved) to 10 (improved significantly),skills_text,To what extent has your confidence as a campaigner improved as a result of completing this course? On a scale of 1 (not improved) to 5 (improved significantly),confidence_text,enjoy,Last modified time
1,10/22/23 18:00:52,10/22/23 18:02:18,anonymous,,10,10,Energetic and very knowledgeable ,10,Good,10,,10,,10,,The principle tactics and creative ways to campaign gave me lots of ideas ,
2,10/23/23 14:54:30,10/23/23 14:56:15,anonymous,,10,10,,10,Good ,10,,7,,7,,Is interesting and builds skills,
3,10/23/23 14:54:37,10/23/23 14:56:50,anonymous,,8,10,Very informative ,7,Useful ,8,Relevant if you were into campaigning ,8,Learnt more today ,7,I’m more confident in my knowledge of campaigning ,Informative and the teacher was nice ,
4,10/23/23 14:54:39,10/23/23 14:56:50,anonymous,,7,8,Was really engaging and intersting the only thingy was she was quite opinionated which could put people off,8,Excellent really focused and easy to use,10,,8,,8,,Really informative and loved learning about social campaigns I didn’t know about,
5,10/23/23 14:54:18,10/23/23 14:56:58,anonymous,,8,9,"Really informative, and a great building of skills. Maybe a smaller group or more group work together to make it a bit more interactive ",10,Informative and easy to understand ,10,Good range of topics to suit different types on campaigns ,7,Didn’t really have any prior knowledge so can’t score high as not sure how improvement will be made ,7,,A great new set of skills and knowledge that i can take further into life ,
6,10/23/23 14:54:30,10/23/23 14:57:22,anonymous,,6,5,A bit bias towards what our campaigns should be,4,Resources were coherent and understandable,5,"There wasn't much said about how we can be active as someone with a lot of privilege, how we can deal with it rather than simply acknowledging privilege ",8,I feel like i know how to campaign more successfully ,5,I was already quite confident ,Being able to discuss in groups rather than just lectures ,
7,10/23/23 14:54:20,10/23/23 14:57:26,anonymous,,9,10,"Opinionated in a good way, good inspiration for anyone interested in a campaign.",8,Easy to understand and very relevant.,9,"From someone who had no experience in how to present/do a campaign, the topics are both inspiring to do something about issues and relevant in todays world.",9,I’ve gone from not having a clue to having a decent knowledge.,8,"The knowledge obtained would allow me to feel more confident presenting, as I know what I’m talking about.",Making your own campaign ,
8,10/23/23 14:54:24,10/23/23 14:57:36,anonymous,,10,10,"Excellent teacher, with plenty of experience and knowledge on the topic.",10,"Clear, factual information and relevant examples",10,,10,,7,"Improved confidence, but confidence will improve further over time and practice.",I enjoyed learning about the different ways of campaigning.,
9,10/23/23 14:54:42,10/23/23 14:57:38,anonymous,,8,7,It was very informational especially as i would like to have an involvement in a campaign in school,7,Good especially when talked through,8,,7,Feel like i actually know how to start a campaign and get the initial ideas,6,,Excited about having a participation in a cause. I now know how to form ideas and a basic plan in order to achieve this,
10,10/23/23 14:54:18,10/23/23 14:57:53,anonymous,,8,9,the teaching was focused and for the most part very interactive (i understand however that there were things to be taught),7,the recourses were good and captivating ,6,"whilst to me, they weren’t directly relevant in my day-to-day life, i found them interesting and likes seeing how they applied in everyday life",6,i was able to construct a basic campaign model by the end of the session,7,it has improved a lot,"i enjoyed this course, the school day length kept it interesting without feeling like a drag. the breaks also kept the session feeling good",
