Id,nation_state,events_attended,event_organisation,useful_information,friendly_and_welcoming_event,suitable_and_inclusive_buildings,interesting_and_varied,overall_rating,another_STBM,interested_sponsor
1,Nigeria ,The Launch Event at the National Glass Centre;Attended face-to-face at the Main Symposium Day at Hope Street Exchange;The Cinema and Panel at Murray Library Lecture Theatre;,10,10,10,10,10,10,Yes,No
2,United Kingdom,Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,10,10,10,8,10,10,Yes,No
3,United Kingdom ,Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,9,8,10,8,8,8,Yes,No
4,United Kingdom,Attended online via Zoom at the Main Symposium Day;,10,10,10,,10,10,Yes,
5,United Kingdom,One or more of the Online Satellite Events Leading up to the Main Symposium ;Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,8,8,8,7,8,8,Yes,No
6,United Kingdom,Attended face-to-face at the Main Symposium Day at Hope Street Exchange;The Cinema and Panel at Murray Library Lecture Theatre;,10,10,10,10,10,10,Yes,Yes
9,United Kingdom,One or more of the Online Satellite Events Leading up to the Main Symposium ;,7,9,10,,10,8,Yes,Yes
10,Nigeria,Attended online via Zoom at the Main Symposium Day;,9,9,9,9,9,9,Yes,Yes
11,United Kingdom,The Launch Event at the National Glass Centre;,10,10,10,10,10,10,Yes,No
12,United Kingdom,The Launch Event at the National Glass Centre;Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,6,6,6,5,9,9,Yes,No
13,United Kingdom,The Launch Event at the National Glass Centre;One or more of the Online Satellite Events Leading up to the Main Symposium ;,10,10,10,10,10,10,Yes,No
14,United Kingdom,The Launch Event at the National Glass Centre;Attended online via Zoom at the Main Symposium Day;The Cinema and Panel at Murray Library Lecture Theatre;,7,8,10,7,8,8,Yes,No
15,Pakistan,One or more of the Online Satellite Events Leading up to the Main Symposium ;,8,7,8,8,8,8,Yes,Yes
16,United Kingdom,Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,10,10,10,10,10,10,Yes,No
17,UK / Germany,Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,10,10,10,10,10,10,Yes,No
18,United Kingdom,One or more of the Online Satellite Events Leading up to the Main Symposium ;Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,9,10,10,10,10,10,Yes,No
19,United Kingdom,Attended face-to-face at the Main Symposium Day at Hope Street Exchange;,8,9,10,10,8,8,Yes,No
20,Bangladesh,Attended online via Zoom at the Main Symposium Day;,5,5,8,8,9,7,Yes,No
