ID,event,event_rating,event_organisation,event_communication,case_study_consent
2,Monday: Launch Party,Very good,Very Good,Very Good,Yes
4,Monday: Launch Party,Excellent,Excellent,Excellent,Yes
5,Monday: Launch Party,Excellent,Excellent,Very Good,Yes
6,Monday: Launch Party,Very good,Very Good,Very Good,Yes
8,Thursday and Friday: #SaferToBeMe Conference,Very good,Very Good,Very Good,Yes
9,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
11,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
12,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
13,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
14,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,Yes
15,Monday: Launch Party,Excellent,Excellent,Very Good,Yes
17,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,Yes
18,Thursday and Friday: #SaferToBeMe Conference,Excellent,Very Good,Excellent,Yes
19,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
20,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,Yes
21,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
26,Thursday and Friday: #SaferToBeMe Conference,Very good,Very Good,Very Good,Yes
27,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
30,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
35,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
41,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Very Good,Yes
49,Tuesday: Guided Walking Tour of Newcastle's Queer History (morning or afternoon),Excellent,Excellent,Excellent,Yes
50,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
52,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
53,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,Yes
55,Tuesday: Guided Walking Tour of Newcastle's Queer History (morning or afternoon),Excellent,Excellent,Excellent,Yes
56,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
60,Monday: Launch Party,Very good,Excellent,Excellent,Yes
61,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
62,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,Yes
65,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
70,Thursday and Friday: #SaferToBeMe Conference,Excellent,Very Good,Very Good,Yes
76,Monday: Launch Party,Very good,Very Good,Good,Yes
77,Tuesday: Trans and Non-Binary Awareness Training Course,Good,Good,Good,Yes
78,Thursday and Friday: #SaferToBeMe Conference,Excellent,Very Good,Very Good,Yes
79,Friday: Signing of the Newcastle-Gateshead Declaration,Good,Good,Good,Yes
80,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
81,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Very Good,Very Good,Yes
88,Thursday and Friday: #SaferToBeMe Conference,Good,Good,Average ,Yes
89,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,Yes
90,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,Yes
97,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Very Good,Yes
98,Tuesday: Trans and Non-Binary Awareness Training Course,Very good,Very Good,Very Good,Yes
99,Thursday and Friday: #SaferToBeMe Conference,Excellent,Very Good,Excellent,Yes
1,Monday: Launch Party,Excellent,Excellent,Excellent,No
3,Monday: Launch Party,Very good,Very Good,Very Good,No
7,Thursday and Friday: #SaferToBeMe Conference,Very good,Very Good,Very Good,No
10,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Very Good,No
16,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,No
22,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,No
23,Tuesday: Guided Walking Tour of Newcastle's Queer History (morning or afternoon),Good,Good,Good,No
24,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,No
25,Tuesday: Trans and Non-Binary Awareness Training Course,Average,Average ,Good,No
28,Thursday and Friday: #SaferToBeMe Conference,Very good,Good,Poor,No
29,Thursday and Friday: #SaferToBeMe Conference,Very good,Good,Average ,No
31,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,No
32,Friday: Signing of the Newcastle-Gateshead Declaration,Very good,Very Good,Good,No
33,Tuesday: Guided Walking Tour of Newcastle's Queer History (morning or afternoon),Excellent,Excellent,Very Good,No
34,Thursday and Friday: #SaferToBeMe Conference,Excellent,Very Good,Very Good,No
36,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Very Good,No
37,Thursday and Friday: #SaferToBeMe Conference,Excellent,Very Good,Very Good,No
38,Saturday Social: Trip to Beamish Living Museum of the North,Excellent,Excellent,Excellent,No
39,Thursday and Friday: #SaferToBeMe Conference,Excellent,Very Good,Very Good,No
40,Thursday and Friday: #SaferToBeMe Conference,Very good,Very Good,Very Good,No
42,Monday: Launch Party,Excellent,Excellent,Excellent,No
43,Tuesday: Guided Walking Tour of Newcastle's Queer History (morning or afternoon),Excellent,Excellent,Excellent,No
44,Tuesday: Out of Office Business Networking Reception,Excellent,Excellent,Excellent,No
45,Wednesday: Security Training,Excellent,Excellent,Excellent,No
46,Thursday and Friday: #SaferToBeMe Conference,Excellent,Excellent,Excellent,No
47,Friday: Signing of the Newcastle-Gateshead Declaration,Excellent,Excellent,Excellent,No
48,Saturday Social: Trip to Beamish Living Museum of the North,Excellent,Excellent,Excellent,No
