Id,session,"subject_knowledge_development
","skills_development
","confidence_development
","inspired_as_campaigner
",teacher_rating,topic_relevance,resource_rating,course_organisation,overall_rating
1,1,9,9,8,8,NA,NA,NA,NA,NA
2,1,8,8,8,9,NA,NA,NA,NA,NA
3,1,10,10,10,10,NA,NA,NA,NA,NA
4,1,9,8,8,9,NA,NA,NA,NA,NA
5,1,8,8,9,10,NA,NA,NA,NA,NA
6,1,9,9,10,9,NA,NA,NA,NA,NA
7,1,7,7,8,8,NA,NA,NA,NA,NA
8,1,10,10,9,10,NA,NA,NA,NA,NA
9,1,8,8,9,10,NA,NA,NA,NA,NA
10,1,8,7,9,8,NA,NA,NA,NA,NA
1,2,NA,10,10,NA,10,10,10,NA,10
2,2,NA,7,7,NA,10,10,10,NA,10
3,2,NA,8,7,NA,10,8,7,NA,8
4,2,NA,8,8,NA,8,10,8,NA,7
5,2,NA,7,7,NA,9,10,10,NA,8
6,2,NA,8,5,NA,5,5,4,NA,6
7,2,NA,9,8,NA,10,9,8,NA,9
8,2,NA,10,7,NA,10,10,10,NA,10
9,2,NA,7,6,NA,7,8,7,NA,8
10,2,NA,6,7,NA,9,6,7,NA,8
11,2,NA,9,8,NA,8,9,8,NA,8
12,2,NA,9,7,NA,7,8,8,NA,7
13,2,NA,7,7,NA,6,9,7,NA,7
14,2,NA,10,10,NA,9,8,9,NA,7
15,2,NA,8,8,NA,10,8,8,NA,9
16,2,NA,10,10,NA,10,10,10,NA,10
17,2,NA,7,6,NA,8,8,9,NA,8
18,2,NA,6,7,NA,9,10,8,NA,9
19,2,NA,9,6,NA,9,8,8,NA,8
20,2,NA,9,9,NA,8,9,6,NA,7
1,3,NA,9,10,NA,10,9,9,NA,10
2,3,NA,9,9,NA,10,8,8,NA,10
3,3,NA,10,10,NA,10,10,10,NA,10
4,3,NA,9,9,NA,10,9,10,NA,10
5,3,NA,4,4,NA,8,7,7,NA,8
6,3,NA,10,10,NA,10,10,10,NA,10
7,3,NA,10,10,NA,10,10,10,NA,10
8,3,NA,9,9,NA,10,10,10,NA,10
9,3,NA,10,10,NA,10,10,10,NA,10
10,3,NA,10,10,NA,10,10,10,NA,10
11,3,NA,10,10,NA,10,10,10,NA,10
12,3,NA,10,10,NA,10,9,10,NA,10
13,3,NA,10,10,NA,10,10,10,NA,10
14,3,NA,10,10,NA,10,10,10,NA,10
15,3,NA,10,10,NA,9,9,10,NA,9
16,3,NA,9,8,NA,10,10,9,NA,10
17,3,NA,8,7,NA,9,10,10,NA,10
18,3,NA,10,8,NA,10,10,10,NA,10
19,3,NA,10,10,NA,10,10,10,NA,10
20,3,NA,4,4,NA,8,8,8,NA,8
21,3,NA,10,10,NA,10,10,10,NA,10
22,3,NA,8,10,NA,8,10,10,NA,10
23,3,NA,10,10,NA,10,10,10,NA,10
24,3,NA,10,10,NA,10,9,10,NA,10
